dataset,model,seed,threshold,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision
synth_sea_abrupt,TRANSFORMER,11,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.2,0.0,0.0,0.0,0.0,1.0,0.9908256880733946,1.0,1,1,2,0,109,108,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.25,0.0,0.0,0.0,0.0,1.0,0.944954128440367,1.0,1,1,2,0,109,103,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.3,0.0,0.0,0.0,0.0,1.0,0.8256880733944955,1.0,1,1,2,0,109,90,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.35,0.0,0.0,0.0,0.0,1.0,0.5596330275229358,1.0,3,3,2,0,109,61,0,119,3,2.5210084033613445,3,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.39999999999999997,1.0,1.0,0.0,0.5,0.5,0.1743119266055046,0.9,10,9,2,1,109,19,1,119,10,8.403361344537815,9,1,0.1
synth_sea_abrupt,TRANSFORMER,22,0.44999999999999996,0.0,0.0,0.0,0.0,1.0,0.07339449541284404,1.0,5,5,2,0,109,8,0,119,5,4.201680672268908,5,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.49999999999999994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.5499999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,22,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.2,0.0,0.0,0.0,0.0,1.0,0.9724770642201835,1.0,1,1,2,0,109,106,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.25,0.0,0.0,0.0,0.0,1.0,0.908256880733945,1.0,1,1,2,0,109,99,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.3,0.0,0.0,0.0,0.0,1.0,0.8256880733944955,1.0,1,1,2,0,109,90,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.35,0.0,0.0,0.0,0.0,1.0,0.6880733944954128,1.0,1,1,2,0,109,75,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,0.5045871559633027,1.0,2,2,2,0,109,55,0,119,2,1.680672268907563,2,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.44999999999999996,3.0,3.0,0.0,1.0,0.0,0.1926605504587156,0.75,8,6,2,2,109,21,6,119,8,6.722689075630252,6,2,0.25
synth_sea_abrupt,TRANSFORMER,33,0.49999999999999994,3.0,3.0,0.0,0.5,0.5,0.11009174311926606,0.8571428571428571,7,6,2,1,109,12,3,119,7,5.882352941176471,6,1,0.14285714285714285
synth_sea_abrupt,TRANSFORMER,33,0.5499999999999999,3.0,3.0,0.0,0.5,0.5,0.027522935779816515,0.6666666666666666,3,2,2,1,109,3,3,119,3,2.5210084033613445,2,1,0.3333333333333333
synth_sea_abrupt,TRANSFORMER,33,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,33,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
